Run key soldier,Id,Name,Rank,Salary,Run key Weapon,Regular Or permanent,Recruitment date,Release date 
823,281005320,Cassondra Rogers,Samal,6097,926,Regular,2016-08-24,2019-05-21
824,239563869,Paula Esquivel,Rav turai,9933,13124,Regular,2012-05-21,2015-02-15
825,3667739,Ora Phillips,Rav samal,3705,13552,Regular,1990-03-22,1992-12-16
826,179231140,Jerry Girgenti,Turai,5949,13903,Regular,1997-11-25,2000-08-21
827,288697854,Dorothy Morales,Rav samal rishon,2027,443,Regular,1997-05-03,2000-01-28
828,280538986,Mattie Jarrell,Turai,8680,4039,Regular,2007-09-22,2010-06-18
829,113192815,Andy Johnson,Rav turai,6711,5176,permanent,2002-12-15,2005-09-10
830,288805176,Ryan Hernandez,Rav samal rishon,7996,10951,Regular,2012-05-11,2015-02-05
831,175899099,Hassan Tatum,Rav samal,2514,3302,Regular,1998-03-06,2000-11-30
832,33305754,Margie Sekel,Aluf mishne,9272,16449,Regular,1991-12-02,1994-08-28
833,96902041,Naomi Ritchie,Turai,7132,2974,permanent,1991-06-04,1994-02-28
834,55588601,Tia Goldberg,Turai,6637,2906,Regular,1991-05-06,1994-01-30
835,161576881,Bernard Phipps,Samal,4748,6735,permanent,2000-02-04,2002-10-31
836,154367925,Micheal Vick,Rav turai,2303,8852,permanent,2016-04-27,2019-01-22
837,44406166,Zachary Apodaca,Rav seren,1768,10416,Regular,2010-10-06,2013-07-02
838,256341663,Luther Keller,Aluf,7433,42,permanent,2006-03-02,2008-11-26
839,159540349,Barbara Flynn,Turai,2625,11318,permanent,2006-01-02,2008-09-28
840,50503577,Marco Hayes,Tat aluf,8335,17595,Regular,2010-08-15,2013-05-11
841,145300570,Antoine Dawson,Rav samal rishon,9499,8160,permanent,2015-05-19,2018-02-12
842,8660988,Heather Miller,Rav samal,9687,11130,permanent,2016-05-08,2019-02-02
843,85707217,Marvin Stone,Turai,3063,17066,permanent,2002-12-04,2005-08-30
844,154166673,Charles Wagner,Rav turai,9385,14872,permanent,2009-08-04,2012-04-30
845,144567198,Lola Barnes,Rav samal rishon,2585,722,permanent,2010-01-10,2012-10-06
846,114732773,Margaret Davis,Turai,9631,15200,Regular,1999-10-03,2002-06-29
847,69810852,Sharon Harris,Seren,8755,9252,Regular,2016-06-01,2019-02-26
848,201327836,Donald Birden,Samal,7876,3096,Regular,2006-04-04,2008-12-29
849,35812655,Joanne Henriquez,Rav samal,8511,1876,permanent,1996-03-01,1998-11-26
850,73348078,James Elizondo,Rav samal,8711,2836,permanent,2010-07-16,2013-04-11
851,98457639,Nicolas Alvarez,Rav samal,7071,2188,permanent,1990-05-06,1993-01-30
852,33253858,Richard Major,Seren,4954,2073,permanent,2014-01-06,2016-10-02
853,145697632,Clarence Nelson,Rav turai,5984,4900,Regular,2006-06-21,2009-03-17
854,73078530,Marie Jimenez,Rav turai,8706,6021,permanent,1997-07-26,2000-04-21
855,107693511,Jasmine Clark,Seren,6412,265,Regular,2007-02-25,2009-11-21
856,160537173,Willie Valliere,Samal,4415,2676,permanent,2017-05-29,2020-02-23
857,42285195,Bertha Harris,Rav turai,8305,17000,permanent,1992-05-21,1995-02-15
858,92289351,Carla Harper,Rav turai,1535,3782,Regular,2015-02-11,2017-11-07
859,65578626,Myrtle Thompson,Rav seren,6668,3715,Regular,1999-11-09,2002-08-05
860,288425477,Ramon Martin,Rav samal,1721,19101,Regular,2001-04-23,2004-01-18
861,135277101,Joan Russell,Rav samal,1961,15825,Regular,2003-12-23,2006-09-18
862,126776624,Jamie Kinder,Rav samal rishon,8243,4447,permanent,2012-07-08,2015-04-04
863,198247938,Heather Dietlin,Seren,2649,3681,permanent,2013-08-09,2016-05-05
864,130045254,Angela Williams,Seren,8780,6386,Regular,2015-07-03,2018-03-29
865,82239548,Frank Sabo,Turai,1848,11078,Regular,1991-11-24,1994-08-20
866,76933332,Kenneth Alvarado,Sgan aluf,5702,11256,Regular,2011-07-26,2014-04-21
867,53607378,Gillian Prescott,Samal,9431,15148,Regular,2014-08-17,2017-05-13
868,289500082,Fatima Boyle,Rav turai,7896,2440,Regular,2011-11-22,2014-08-18
869,104808452,David Tupper,Rav turai,6989,428,permanent,2010-09-10,2013-06-06
870,192122616,Ricky Huss,Aluf,4681,4772,permanent,2004-09-07,2007-06-04
871,113808815,Bobby Mathis,Seren,1914,1757,Regular,2012-03-09,2014-12-04
872,255553438,Maire Scott,Rav samal,6993,15881,Regular,2005-05-08,2008-02-02
873,175130954,John Spiker,Rav seren,9643,14851,Regular,2015-10-13,2018-07-09
874,39020295,Shawanda Lee,Tat aluf,2990,2054,Regular,1993-04-20,1996-01-15
875,8389813,Eugene Geronimo,Rav turai,8314,12439,permanent,2005-10-05,2008-07-01
876,246953271,Ronald Sprecher,Turai,3841,3785,permanent,1999-09-14,2002-06-10
877,181838397,George Younger,Aluf,2430,12358,permanent,2015-12-16,2018-09-11
878,132479603,Benjamin Mcdaniel,Rav turai,7157,1300,Regular,2015-04-28,2018-01-22
879,22870019,Michael Mengel,Tat aluf,4737,8874,permanent,2011-11-08,2014-08-04
880,253089919,Edward Erwin,Rav turai,4599,18194,Regular,1991-05-09,1994-02-02
881,213672597,Derrick Herd,Sgan aluf,6536,16044,Regular,2014-08-09,2017-05-05
882,231985006,John Allen,Rav samal rishon,9536,7265,permanent,1993-03-26,1995-12-21
883,249883558,April Katon,Rav samal,2765,17032,Regular,1992-02-07,1994-11-03
884,176208207,Jackie White,Rav samal,3899,3690,permanent,1991-04-15,1994-01-09
885,106939062,Doris Richard,Turai,8908,17890,Regular,2007-05-28,2010-02-21
886,275059810,Linda Mccarthy,Turai,7116,12999,permanent,2006-03-24,2008-12-18
887,69295473,Aaron Distasio,Seren,3120,1260,Regular,1991-05-04,1994-01-28
888,33554173,Jennifer Abud,Samal,4656,3109,Regular,2018-09-06,2021-06-02
889,197192657,Maria Moya,Turai,5903,1322,Regular,2006-09-28,2009-06-24
890,1769716,Evelyn Brooks,Rav samal,3279,19934,Regular,2009-02-22,2011-11-19
891,167726137,Sonia Platt,Rav turai,6951,17542,Regular,1998-11-16,2001-08-12
892,285817139,Madeline Garcia,Rav samal rishon,1741,9537,permanent,2015-06-07,2018-03-03
893,163404578,Paula Martin,Rav samal rishon,8391,19600,permanent,1995-09-15,1998-06-11
894,172827255,Charles Johnson,Seren,8205,12674,permanent,2017-01-14,2019-10-11
895,37532960,Kimberly Fulbright,Rav samal,1921,8115,Regular,2001-12-05,2004-08-31
896,37075055,Benjamin Braxton,Rav samal,3787,7716,Regular,2011-10-30,2014-07-26
897,242625148,Mark Borjon,Seren,3829,11662,permanent,1991-11-20,1994-08-16
898,23483860,Lisa Lauricella,Rav samal rishon,8185,15374,permanent,2000-04-28,2003-01-23
899,1001974,Paul Deems,Rav turai,2615,7902,permanent,2008-06-06,2011-03-03
900,31164296,Michael Hayes,Turai,1794,13436,Regular,1998-03-31,2000-12-25
901,26096752,Jeremy Ochoa,Turai,2257,8905,permanent,2016-05-31,2019-02-25
902,160819211,Madeleine Moore,Seren,9737,16879,permanent,2009-11-18,2012-08-14
903,296408144,Joshua Brown,Aluf mishne,1775,580,Regular,2002-09-25,2005-06-21
904,228343634,Adam Hall,Samal,4659,17481,Regular,2003-10-24,2006-07-20
905,176044863,Heidi Toland,Rav turai,7684,6108,permanent,1996-12-29,1999-09-25
906,105453628,Arthur Schuman,Samal,9709,5514,Regular,2001-07-17,2004-04-12
907,180615444,Nona Nieves,Aluf,6819,4873,Regular,2003-11-13,2006-08-09
908,66231452,Harry Ludeker,Rav samal rishon,5818,19191,permanent,1991-09-26,1994-06-22
909,294254166,Theresa Hammonds,Turai,6851,19726,Regular,2011-10-26,2014-07-22
910,148348504,Antonio Andrus,Seren,6261,5367,permanent,2003-03-21,2005-12-15
911,188603767,Michael Hiller,Samal,4542,15975,permanent,2012-03-11,2014-12-06
912,11088228,Mary Peterson,Seren,6845,11476,permanent,2000-06-27,2003-03-24
913,47885886,Patricia Miller,Turai,6385,2211,permanent,2013-10-21,2016-07-17
914,42412704,Barbara Schaffer,Seren,9820,6096,Regular,1994-11-28,1997-08-24
915,14499511,Mitch Truax,Samal,8473,6206,Regular,2016-01-09,2018-10-05
916,275549530,John Hilburn,Rav turai,2236,688,Regular,2016-02-23,2018-11-19
917,238188027,Kevin Bliss,Seren,4319,4187,Regular,1990-01-24,1992-10-20
918,231839019,Alton Oram,Rav seren,5032,16837,permanent,1990-12-07,1993-09-02
919,1698976,Jeanette Doran,Aluf,3402,4196,Regular,1998-05-19,2001-02-12
920,178621184,Robert Simeon,Rav samal rishon,2536,3743,Regular,2003-01-19,2005-10-15
921,87306441,Iris Hixon,Rav samal,3121,14157,permanent,2010-03-29,2012-12-23
922,248207615,Mauricio Moore,Rav turai,4439,8752,Regular,1998-09-17,2001-06-13
923,39123420,Marie Netterville,Turai,4237,19015,permanent,2015-06-29,2018-03-25
924,160100955,Ismael Heath,Rav samal,9679,19683,permanent,2003-03-10,2005-12-04
925,195821028,Amie Rodriguez,Turai,9962,13978,permanent,2012-12-04,2015-08-31
926,284023889,Max Holt,Turai,4013,2912,permanent,2014-05-27,2017-02-20
927,129672631,Brittany Oberg,Turai,3729,2485,permanent,2005-10-07,2008-07-03
928,235423107,Miguel Neumann,Seren,6281,19640,permanent,2002-10-13,2005-07-09
929,196161708,Kristina Wallace,Rav samal,1636,8278,permanent,2006-07-23,2009-04-18
930,260325036,Darla Waid,Sgan aluf,6441,19127,permanent,2008-01-28,2010-10-24
931,232729566,Melanie Gream,Rav seren,6958,2008,permanent,2005-09-29,2008-06-25
932,224071109,Darlene Villalta,Samal,4180,4668,permanent,2011-07-25,2014-04-20
933,228022066,Mireya Labbie,Turai,4665,7003,Regular,2008-09-13,2011-06-10
934,77056378,Dolores Fratus,Turai,7076,14461,permanent,1998-09-08,2001-06-04
935,222702052,Stephen Lundblad,Turai,6958,10434,permanent,2018-12-21,2021-09-16
936,1848311,Randall Wenzel,Rav turai,2614,319,Regular,2012-07-02,2015-03-29
937,103566814,Claudette Allison,Rav samal,2424,19155,Regular,2004-11-16,2007-08-13
938,20788929,Lora Anderson,Rav samal rishon,3935,16565,Regular,2005-07-05,2008-03-31
939,129822706,Carrie Peterson,Sgan aluf,3845,149,Regular,2016-03-15,2018-12-10
940,123505418,Larry Poulin,Aluf,5627,15815,Regular,1992-08-23,1995-05-20
941,184933691,Alice Bucci,Rav samal rishon,4083,9435,permanent,1998-07-16,2001-04-11
942,199185521,Josephine Williams,Rav seren,4653,4506,permanent,2012-03-29,2014-12-24
943,30074873,Laura Carlin,Turai,5368,1195,Regular,1997-09-13,2000-06-09
944,189680215,Jennifer Cobb,Turai,5072,5467,Regular,2004-07-02,2007-03-29
945,115710457,Elizabeth Rivera,Seren,5001,2089,permanent,2004-10-17,2007-07-14
946,68659119,Thelma Bernard,Turai,2606,9118,permanent,2011-06-21,2014-03-17
947,51123768,Janna Blankenship,Seren,6027,13550,Regular,2003-03-31,2005-12-25
948,82788358,Anthony James,Rav samal rishon,3852,12272,Regular,1996-10-22,1999-07-19
949,159842294,Travis Holmes,Sgan aluf,8421,15124,Regular,1992-09-23,1995-06-20
950,261242370,Louis Smith,Turai,2120,1446,permanent,2010-01-13,2012-10-09
951,188986776,Patricia Vann,Turai,9459,10112,permanent,1996-11-30,1999-08-27
952,1271137,Julia Adams,Sgan aluf,7882,3173,Regular,2017-10-20,2020-07-16
953,23654387,Elaine Laplante,Samal,8745,11183,Regular,2004-12-11,2007-09-07
954,286982627,Kyle Robertson,Aluf mishne,4089,12002,Regular,2016-08-21,2019-05-18
955,28216633,Omar Johnson,Samal,3064,13416,Regular,1998-01-01,2000-09-27
956,294518084,Arthur Welch,Rav turai,7623,19475,Regular,1995-10-06,1998-07-02
957,201313153,Douglas Deleon,Samal,2640,13594,Regular,1998-08-31,2001-05-27
958,107495362,Phyllis Blount,Seren,4931,2200,Regular,2012-10-08,2015-07-05
959,17953349,Shannon Hicks,Rav turai,8466,14803,Regular,2017-11-08,2020-08-04
960,261982066,Teresita Myatt,Rav turai,2039,19382,Regular,2000-06-30,2003-03-27
961,153269689,Joe Zwilling,Samal,1638,5446,permanent,2017-07-27,2020-04-22
962,82869832,Charlene Hendley,Aluf mishne,5876,14071,permanent,2016-06-05,2019-03-02
963,90849103,Natalie West,Turai,7816,67,permanent,1993-07-03,1996-03-29
964,110545431,Gail Lord,Tat aluf,6551,17543,permanent,2004-03-16,2006-12-11
965,68844299,David Braddock,Aluf,6017,478,permanent,2008-11-20,2011-08-17
966,278927875,Ronald Smith,Aluf mishne,3720,6891,Regular,2018-01-12,2020-10-08
967,30792781,John Sherrod,Samal,3059,16862,permanent,2011-03-12,2013-12-06
968,111324961,Christopher Garcia,Rav samal rishon,3895,11062,permanent,2008-06-07,2011-03-04
969,276513565,Brian Hyman,Rav samal,5448,2483,Regular,1996-04-19,1999-01-14
970,131115397,Forrest Yazzie,Rav seren,5997,16569,permanent,2012-09-10,2015-06-07
971,95094921,Vera Gooden,Rav samal,3463,6883,permanent,2003-11-16,2006-08-12
972,266668850,Ralph Katz,Rav samal rishon,8437,5083,permanent,2013-01-29,2015-10-26
973,295019188,Jeff Smith,Rav samal,4855,18069,permanent,2016-05-18,2019-02-12
974,198191462,Becky Garrido,Samal,5944,9724,permanent,2011-07-25,2014-04-20
975,174212098,Matthew Phipps,Rav seren,3111,16630,Regular,1992-12-23,1995-09-19
976,259688902,Alvin Harris,Aluf,9502,5531,Regular,1991-01-17,1993-10-13
977,258181563,Joyce Scroggins,Turai,1581,11876,Regular,2007-10-26,2010-07-22
978,249856050,Claudia Cancel,Turai,4755,2523,permanent,2005-11-23,2008-08-19
979,279773983,Steve Stone,Rav samal rishon,3234,14783,permanent,1991-09-21,1994-06-17
980,260308348,Tina Gallardo,Rav samal,7113,15740,Regular,1998-08-29,2001-05-25
981,183197545,Joshua Drummond,Rav samal rishon,4275,14194,Regular,2003-06-21,2006-03-17
982,44006552,Ellyn Kreider,Turai,9442,10281,Regular,2015-09-15,2018-06-11
983,124287589,Sara Geppert,Samal,7395,3356,Regular,1991-10-28,1994-07-24
984,86084201,Linda Hight,Turai,5647,10056,permanent,2009-10-05,2012-07-01
985,295244758,Laura Rowe,Rav samal rishon,4620,4004,permanent,1990-09-08,1993-06-04
986,252169094,Jay Gamble,Rav turai,4595,19596,Regular,2018-07-22,2021-04-17
987,143087044,William Cone,Rav samal,7353,11758,Regular,2000-11-12,2003-08-09
988,84022225,Allan Morales,Rav turai,9521,755,permanent,2009-01-28,2011-10-25
989,141466946,Brandon Townsend,Rav samal rishon,5599,10452,permanent,2017-09-26,2020-06-22
990,220779115,Delbert Haith,Rav samal,4045,16718,permanent,1998-11-10,2001-08-06
991,252818798,George Quintanilla,Rav samal rishon,2666,10101,Regular,2015-05-29,2018-02-22
992,271067831,Frederick Briel,Turai,6681,19197,permanent,1994-10-30,1997-07-26
993,66362276,William Christian,Rav samal,7464,10094,permanent,2018-09-01,2021-05-28
994,169857148,Justin Thor,Samal,2147,2086,Regular,2000-07-24,2003-04-20
995,103686657,Phyliss Whitworth,Rav samal,4814,5639,Regular,2011-06-27,2014-03-23
996,265094096,Walter Johnson,Turai,7381,8077,Regular,1996-01-14,1998-10-10
997,249228186,Minnie Avalos,Turai,4888,1274,permanent,1993-04-22,1996-01-17
998,127027639,Jim Woodford,Rav turai,9044,1794,permanent,1998-10-29,2001-07-25
999,71356432,Anna Finklea,Turai,7258,2981,Regular,2012-05-17,2015-02-11
1000,295214956,Daniel Serna,Seren,7121,15353,Regular,1996-08-22,1999-05-19
1001,14295432,Dale Young,Rav samal rishon,2205,9744,permanent,2001-07-10,2004-04-05
1002,142853429,Charles Puckett,Rav samal,2573,18292,Regular,1993-04-16,1996-01-11
1003,276897385,Wade Gaddis,Samal,2589,13629,permanent,2013-01-23,2015-10-20
1004,246867087,Rosalee Burks,Rav samal,6207,85,permanent,1995-09-01,1998-05-28
1005,232129776,Audrey Lewis,Rav seren,3402,17191,Regular,2009-02-04,2011-11-01
1006,54319411,Thomas Barnes,Aluf mishne,7821,10601,Regular,1995-01-28,1997-10-24
1007,225594360,Mary Hubbard,Rav samal rishon,9012,6463,Regular,1992-01-13,1994-10-09
1008,178276976,Donald Krous,Seren,4882,6615,Regular,2015-08-31,2018-05-27
1009,167128553,Jane Hale,Sgan aluf,9033,1071,permanent,2009-06-30,2012-03-26
1010,100778527,Thomas Perry,Rav turai,7978,14352,permanent,1992-04-09,1995-01-04
1011,94399101,Edward Householder,Aluf,8367,11076,Regular,2006-12-06,2009-09-01
1012,273977785,Frances Parker,Rav samal rishon,7483,17432,Regular,1998-06-06,2001-03-02
1013,3700382,Marcella Taylor,Rav seren,2593,19675,Regular,2001-01-15,2003-10-12
1014,86254465,Elaine Wooldridge,Aluf mishne,2689,6371,permanent,1992-07-12,1995-04-08
1015,76122005,Tristan Cummings,Seren,3112,377,Regular,1997-07-30,2000-04-25
1016,30634630,Robert Fennell,Rav samal rishon,6920,859,permanent,2012-11-18,2015-08-15
1017,71448702,John Sherman,Turai,6049,16150,Regular,1992-08-29,1995-05-26
1018,212568129,Melissa Henderson,Rav samal,4234,4106,permanent,1998-02-21,2000-11-17
1019,87473419,Christopher Engel,Rav samal rishon,7990,11651,Regular,2016-04-11,2019-01-06
1020,202452852,Gloria Burks,Rav samal,6598,543,Regular,1994-09-09,1997-06-05
1021,130831570,Melanie Sergent,Turai,6285,284,permanent,1992-10-15,1995-07-12
1022,39139921,Alan Jones,Turai,5206,9223,permanent,2000-07-29,2003-04-25
1023,60150548,Jennifer Kryst,Rav samal,4723,17450,permanent,1995-07-29,1998-04-24
1024,94664397,Hilario Totty,Rav samal rishon,3135,15597,Regular,2001-10-08,2004-07-04
1025,113869288,Earl Huffman,Samal,7725,19404,permanent,2007-06-20,2010-03-16
1026,2626871,Hazel White,Rav samal rishon,4066,12227,Regular,1999-11-16,2002-08-12
1027,198680530,Shannon Wroblewski,Samal,7580,10250,permanent,1992-03-21,1994-12-16
1028,265480614,Dion Nunez,Sgan aluf,4074,19715,Regular,1991-01-26,1993-10-22
1029,33244425,Annie Flies,Turai,5030,64,permanent,2005-10-05,2008-07-01
1030,171122770,Lowell Reidy,Rav turai,7188,19018,Regular,2012-02-08,2014-11-04
1031,182998283,Celina Allen,Tat aluf,7404,5421,Regular,2015-06-17,2018-03-13
1032,51507902,Tim Ferguson,Rav samal rishon,8642,1824,Regular,2014-04-29,2017-01-23
1033,238150921,Sonia Wright,Seren,8328,8318,permanent,2005-06-06,2008-03-02
1034,108745909,Brian Nikas,Aluf,2639,18731,Regular,2016-07-30,2019-04-26
1035,227756783,Douglas Wolery,Seren,3731,7690,Regular,2000-05-21,2003-02-15
1036,213094444,Calvin Canida,Rav turai,1598,16292,permanent,2017-08-05,2020-05-01
1037,147719698,Angela Braun,Turai,7916,13746,permanent,1990-02-12,1992-11-08
1038,95558968,Dorothy Rawlins,Rav samal,9277,11391,Regular,2004-12-28,2007-09-24
1039,270827574,Robert Cherry,Samal,3242,3787,permanent,1992-10-30,1995-07-27
1040,46338178,Darnell Marbley,Rav samal rishon,2400,15525,Regular,2017-12-20,2020-09-15
1041,154669054,Eli Harden,Rav turai,5252,8754,permanent,2007-01-06,2009-10-02
1042,2616368,Alicia Jacobs,Rav turai,5554,6368,permanent,2017-05-19,2020-02-13
1043,181080069,Barbara Mccormick,Turai,2427,9381,permanent,2001-06-23,2004-03-19
1044,20131964,Janet Baldwin,Rav turai,4321,19912,permanent,1996-11-19,1999-08-16
1045,200373272,John Peterson,Samal,2563,11971,permanent,1999-03-09,2001-12-03
1046,98275911,Derrick Martin,Aluf,3171,3278,permanent,2011-09-12,2014-06-08
1047,93339682,Bonnie Rankin,Rav samal rishon,1747,4556,Regular,2003-03-29,2005-12-23
1048,84236573,Leonard Hallum,Samal,5380,5897,Regular,2006-12-17,2009-09-12
1049,128780828,Julie Hayes,Aluf,9672,3918,Regular,2015-04-12,2018-01-06
1050,32655035,John Gibson,Turai,8578,13028,permanent,2014-02-18,2016-11-14
1051,241070974,William Unger,Rav samal,3740,14117,permanent,2016-08-01,2019-04-28
1052,208568891,Felica Wheeler,Aluf mishne,2296,17381,Regular,2015-09-26,2018-06-22
1053,220333182,Elizabeth Schaaf,Rav turai,2795,12840,Regular,2017-01-25,2019-10-22
1054,62719966,Jean Padgett,Rav samal rishon,7652,7111,permanent,1990-04-04,1992-12-29
1055,89764445,Terry Thomas,Samal,6431,242,permanent,1995-01-28,1997-10-24
1056,157189030,Victor Lozano,Rav samal,2626,10874,Regular,2015-12-07,2018-09-02
1057,294147523,Gloria Morris,Seren,6336,9066,permanent,2009-06-11,2012-03-07
1058,215535096,Sharon Dietz,Samal,2035,15396,permanent,2005-09-10,2008-06-06
1059,182627398,James Semaan,Rav samal,3667,19247,Regular,2006-09-26,2009-06-22
1060,261784151,Jo Delaney,Rav turai,6751,19383,Regular,2008-11-29,2011-08-26
1061,190261017,Roger Smoke,Sgan aluf,3494,6991,permanent,2005-06-12,2008-03-08
1062,289881257,Keith Johnson,Rav samal,6461,17101,permanent,2005-02-07,2007-11-04
1063,246371992,Chris Price,Turai,5708,14939,permanent,2000-06-24,2003-03-21
1064,145798986,Esperanza Schlagel,Rav samal rishon,7229,5490,permanent,1998-11-11,2001-08-07
1065,279891934,Leon Larsen,Seren,1642,7943,permanent,2003-11-03,2006-07-30
1066,123281246,Tony Davis,Tat aluf,6275,2123,permanent,2017-08-19,2020-05-15
1067,267042178,Spring Raleigh,Rav samal,2087,4261,Regular,2007-08-26,2010-05-22
1068,271391621,Linda Witte,Tat aluf,4542,1804,permanent,2005-01-30,2007-10-27
1069,205805664,Bryan Rector,Turai,4518,11753,Regular,2003-03-06,2005-11-30
1070,133739511,Scarlett Barnes,Seren,5479,3656,permanent,2014-11-26,2017-08-22
1071,169279917,Rodger Hopper,Turai,6429,11990,Regular,1996-02-16,1998-11-12
1072,241958626,Jason Lingle,Seren,3724,1819,Regular,2005-01-04,2007-10-01
1073,232971564,Alicia Gilliland,Rav samal,1888,3121,Regular,1991-07-16,1994-04-11
1074,188033733,Kyle Ivancic,Rav turai,7796,5350,permanent,1998-02-14,2000-11-10
1075,236328927,Juanita Gonzalez,Turai,9580,9048,permanent,1991-04-27,1994-01-21
1076,20020513,Henry Nuzback,Seren,2076,15257,permanent,2008-02-26,2010-11-22
1077,120964856,Matthew Small,Rav samal,6341,13975,permanent,2003-03-09,2005-12-03
1078,86651311,Clyde King,Rav turai,3578,113,Regular,2004-03-27,2006-12-22
1079,69082131,Janette Calderon,Rav samal,7929,3771,Regular,2017-05-26,2020-02-20
1080,269293252,Trina Simmon,Seren,7694,4655,permanent,2002-10-05,2005-07-01
1081,110517474,Frank Davis,Rav seren,7308,11625,Regular,2008-09-18,2011-06-15
1082,146790037,Dustin Dupre,Samal,6239,1020,permanent,1996-09-23,1999-06-20
1083,139124085,James Solis,Seren,7612,1562,Regular,2008-10-12,2011-07-09
1084,258659577,Eva Huhn,Rav samal,6747,10140,permanent,2011-09-01,2014-05-28
1085,113388470,Alex Lobo,Samal,8343,11633,permanent,1993-06-24,1996-03-20
1086,94376965,Edward Nichols,Turai,2226,2193,permanent,2010-06-06,2013-03-02
1087,236913191,Walter Crumpton,Sgan aluf,3677,10992,Regular,1999-12-30,2002-09-25
1088,223097360,Paula Rodriquez,Rav samal rishon,2407,5847,Regular,2006-03-25,2008-12-19
1089,15971839,Paula Sandlin,Turai,5816,7227,Regular,1990-05-29,1993-02-22
1090,111055543,Janice Cardinal,Rav turai,9415,11907,Regular,2017-03-08,2019-12-03
1091,230496256,Douglas Bernhardt,Seren,7585,7523,Regular,2006-03-12,2008-12-06
1092,65366071,Gene Ford,Rav samal rishon,4528,4151,Regular,2005-06-24,2008-03-20
1093,104033655,Ty Hutto,Rav seren,7326,1515,permanent,1999-11-24,2002-08-20
1094,281300846,Wanda Morris,Rav turai,4309,5639,permanent,2017-07-02,2020-03-28
1095,251828305,Hal Smith,Aluf,5560,13391,Regular,2003-02-13,2005-11-09
1096,168152224,Jody Brown,Samal,4373,2229,permanent,2018-02-25,2020-11-21
1097,275148866,Nancy Bolden,Rav samal,3448,9476,permanent,2014-06-03,2017-02-27
1098,248144692,Billy Ohara,Samal,9247,15969,permanent,2003-03-18,2005-12-12
1099,235128738,Raymond Bowen,Seren,9366,13803,permanent,2008-10-19,2011-07-16
1100,141508311,Jacob Scott,Sgan aluf,2506,14901,permanent,1991-10-08,1994-07-04
1101,221400386,Kellie Oneil,Rav samal,7768,18339,permanent,2016-07-03,2019-03-30
1102,57058372,Santana Flood,Rav samal rishon,4771,16877,permanent,2015-09-23,2018-06-19
1103,196895259,Michelle Morris,Turai,1720,5932,permanent,2013-05-16,2016-02-10
1104,127163821,Nathan Buffington,Rav samal,9371,13902,permanent,2013-05-15,2016-02-09
1105,8195803,Deloris Milligan,Rav seren,6925,17575,permanent,2003-12-30,2006-09-25
1106,248698568,Migdalia Jose,Seren,1857,2474,Regular,1996-03-06,1998-12-01
1107,172227123,Colin Large,Rav samal,6154,524,permanent,2001-09-12,2004-06-08
1108,128694511,Lucile Hall,Rav samal rishon,6392,18136,permanent,1999-07-04,2002-03-30
1109,52000980,Violet Sprengeler,Rav turai,6813,8041,permanent,1994-11-10,1997-08-06
1110,297970299,Sharita Nelson,Rav turai,9167,5220,Regular,2010-08-14,2013-05-10
1111,221175089,William Shroyer,Turai,4155,2927,permanent,1991-01-27,1993-10-23
1112,259763496,Delores Penn,Rav samal rishon,3689,894,permanent,1995-09-21,1998-06-17
1113,161312947,Elizabeth Heins,Rav samal rishon,6769,908,Regular,1994-07-18,1997-04-13
1114,37741276,Jeanette Guzman,Rav samal,8052,6699,Regular,1991-10-31,1994-07-27
1115,114384365,Elijah Beard,Samal,9353,19484,Regular,1996-06-30,1999-03-27
1116,68852650,William Silverberg,Rav samal rishon,5484,246,Regular,1990-10-29,1993-07-25
1117,158204283,David Weist,Rav seren,4115,734,permanent,2008-08-17,2011-05-14
1118,146942434,Patrick Phillips,Turai,7203,11211,permanent,2012-07-10,2015-04-06
1119,124286192,Casey Nestor,Turai,2431,1812,Regular,2013-12-24,2016-09-19
1120,33268664,Evelyn Lee,Rav samal,8645,10289,permanent,2005-02-02,2007-10-30
1121,189562645,Cynthia Blythe,Turai,8965,6905,permanent,1990-03-26,1992-12-20
1122,109568709,Joanna Glassman,Sgan aluf,3346,16386,Regular,2012-01-24,2014-10-20
1123,275673089,Felicia Lyon,Rav turai,6005,4012,permanent,1994-01-16,1996-10-12
1124,264383421,Lacy Sheely,Aluf,4869,1127,Regular,2011-11-29,2014-08-25
1125,191721770,Thomas Wilcox,Seren,5557,420,permanent,2016-12-11,2019-09-07
1126,154443232,Frederick Howard,Turai,8187,3595,permanent,1994-09-29,1997-06-25
1127,293113495,David Randall,Rav samal rishon,7658,1297,permanent,2005-03-16,2007-12-11
1128,90789787,John Lander,Rav turai,5576,11190,permanent,1999-09-14,2002-06-10
1129,174861976,Erika Irvine,Tat aluf,2032,9373,permanent,2007-07-27,2010-04-22
1130,151269686,Ethel Simpson,Seren,5394,15974,permanent,2006-11-27,2009-08-23
1131,176616779,Marilyn Ramirez,Rav seren,9369,682,Regular,1998-01-20,2000-10-16
1132,272676994,Richard Auten,Rav samal rishon,9109,13681,permanent,1990-04-29,1993-01-23
1133,214920626,Gloria Reisman,Rav turai,7039,10021,Regular,2008-10-15,2011-07-12
1134,177538958,June Selfridge,Rav samal rishon,8803,9520,Regular,2010-05-02,2013-01-26
1135,16541905,Josefina Rodriguez,Rav turai,5906,2412,Regular,2001-05-24,2004-02-18
1136,291748435,Diane Waverly,Aluf mishne,5143,4631,Regular,1997-07-13,2000-04-08
